iso_code,country,co2,category,alpha-3,region
MNE,Montenegro,2.31,,MNE,Europe
MSR,Montserrat,0.025,,MSR,Americas
MAR,Morocco,64.536,almost-sufficient,MAR,Africa
MOZ,Mozambique,6.571000000000001,,MOZ,Africa
MMR,Myanmar,36.326,,MMR,Asia
NAM,Namibia,3.877,,NAM,Africa
NRU,Nauru,0.057,,NRU,Oceania
NPL,Nepal,16.958,almost-sufficient,NPL,Asia
NLD,Netherlands,138.1,,NLD,Europe
NCL,New Caledonia,8.693,,NCL,Oceania
NZL,New Zealand,33.475,highly-insufficient,NZL,Oceania
NIC,Nicaragua,5.074,,NIC,Americas
NER,Niger,1.69,,NER,Africa
NGA,Nigeria,125.463,almost-sufficient,NGA,Africa
NIU,Niue,0.011000000000000001,,NIU,Oceania
PRK,North Korea,29.311,,PRK,Asia
MKD,North Macedonia,7.147,,MKD,Europe
NOR,Norway,41.283,insufficient,NOR,Europe
OMN,Oman,62.163000000000004,,OMN,Asia
PAK,Pakistan,234.755,,PAK,Asia
PLW,Palau,0.21899999999999997,,PLW,Oceania
PSE,Palestine,2.8989999999999996,,PSE,Asia
PAN,Panama,10.78,,PAN,Americas
PNG,Papua New Guinea,6.652,,PNG,Oceania
PRY,Paraguay,7.57,,PRY,Americas
PER,Peru,44.706,insufficient,PER,Americas
PHL,Philippines,136.018,,PHL,Asia
POL,Poland,299.593,,POL,Europe
PRT,Portugal,40.388000000000005,,PRT,Europe
QAT,Qatar,106.655,,QAT,Asia
ROU,Romania,71.475,,ROU,Europe
RUS,Russia,1577.136,critically-insufficient,RUS,Europe
RWA,Rwanda,1.033,,RWA,Africa
SHN,Saint Helena,0.009000000000000001,,SHN,Africa
KNA,Saint Kitts and Nevis,0.212,,KNA,Americas
LCA,Saint Lucia,0.44,,LCA,Americas
SPM,Saint Pierre and Miquelon,0.051,,SPM,Americas
VCT,Saint Vincent and the Grenadines,0.209,,VCT,Americas
WSM,Samoa,0.24600000000000002,,WSM,Oceania
